filename,wmoid,date,station_name
D96163_2025031200IUSG.BIN,96163,202503120000,Unknown
P2096147D202503250000.DAT,96147,202503250000,Unknown
P2097502B202503250000.DAT,97502,202503250000,Unknown
D97180_2025031900IUSG.BIN,97180,202503190000,Unknown
T2096011B202504020000.DAT,96011,202504020000,Unknown
T2096011A202504020000.DAT,96011,202504020000,Unknown
T2096011C202504070000.DAT,96011,202504070000,Unknown
D97372_2025041500.X,97372,202504150000,Unknown
D97372_2025030900IUSG.BIN,97372,202503090000,Unknown
D96685_2025030300.DAT,96685,202503030000,Unknown
T2096147A202504120000.X,96147,202504120000,Unknown
D96253_2025040300IUSG.BIN,96253,202504030000,Unknown
D97560_2025031300IUKG.BIN,97560,202503130000,Unknown
P2096645B202504010000.DAT,96645,202504010000,Unknown
D97890_2025031600.DAT,97890,202503160000,Unknown
T2096645D202503270000.DAT,96645,202503270000,Unknown
D97072_2025030800IUSG.BIN,97072,202503080000,Unknown
P2096011C202504100000.DAT,96011,202504100000,Unknown
P2096645C202503290000.DAT,96645,202503290000,Unknown
D97372_2025033000IUSG.BIN,97372,202503300000,Unknown
T2096645B202503230000.DAT,96645,202503230000,Unknown
D96685_2025030500IUKG.BIN,96685,202503050000,Unknown
D96253_2025041500IUKG.BIN,96253,202504150000,Unknown
D97560_2025041400.DAT,97560,202504140000,Unknown
P2096645D202503310000.DAT,96645,202503310000,Unknown
T2096805B202504070000.DAT,96805,202504070000,Unknown
D97724_2025040300IUSG.BIN,97724,202504030000,Unknown
D97180_2025032600IUSG.BIN,97180,202503260000,Unknown
D97560_2025030600.DAT,97560,202503060000,Unknown
D97014_2025031100IUSG.BIN,97014,202503110000,Unknown
D96685_2025031300.DAT,96685,202503130000,Unknown
T2096011A202504140000.X,96011,202504140000,Unknown
T2096805C202503300000.DAT,96805,202503300000,Unknown
P2096147A202503290000.DAT,96147,202503290000,Unknown
T2096011B202503230000.DAT,96011,202503230000,Unknown
D96035_2025030300IUKG.BIN,96035,202503030000,Unknown
P2096011A202504030000.DAT,96011,202504030000,Unknown
D97180_2025032412IUKG.BIN,97180,202503241200,Unknown
P2096645D202504040000.DAT,96645,202504040000,Unknown
D96749_2025010200.DAT,96749,202501020000,Unknown
T2096147A202504100000.DAT,96147,202504100000,Unknown
D97890_2025031000IUKG.BIN,97890,202503100000,Unknown
D96581_2025031000.DAT,96581,202503100000,Unknown
P2096805B202504080000.DAT,96805,202504080000,Unknown
P2096011D202504030000.DAT,96011,202504030000,Unknown
T2097502D202504140000.X,97502,202504140000,Unknown
T2096011C202504040000.DAT,96011,202504040000,Unknown
D97560_2025041300.DAT,97560,202504130000,Unknown
D97724_2025040200IUKG.BIN,97724,202504020000,Unknown
T2096645B202504080000.DAT,96645,202504080000,Unknown
D97560_2025031100.DAT,97560,202503110000,Unknown
P2096645B202504070000.DAT,96645,202504070000,Unknown
P2096011C202504150000.X,96011,202504150000,Unknown
P2096805C202504050000.DAT,96805,202504050000,Unknown
P2097502C202503240000.DAT,97502,202503240000,Unknown
P2097502D202504070000.DAT,97502,202504070000,Unknown
D97560_2025032000IUSG.BIN,97560,202503200000,Unknown
D97724_2025041200.X,97724,202504120000,Unknown
