file_name,wmo_id,station_name,status
D96011_202502011200.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502011200.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502021200.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502021200.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502040000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502040000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502050000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502050000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502060000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502060000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502070000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502070000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502080000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502080000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502090000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502090000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502100000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502100000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502110000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502110000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502120000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502120000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502130000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502130000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502140000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502140000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502170000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502170000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502180000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502180000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502190000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502190000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502210000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502210000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502220000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502220000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502240000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502240000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502250000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502250000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502270000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502270000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502280000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202502280000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503030000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503030000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503040000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503040000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503060000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503060000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503070000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503070000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503100000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503100000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503110000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503110000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503120000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503120000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503130000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503130000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503140000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503140000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503160000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503160000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503170000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503170000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503190000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503190000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503200000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503200000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503210000.bfh,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503210000.bfr,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96011_202503210000.bin,96011,WITT_Stasiun Meteorologi Sultan Iskandar Muda,Dikenali
D96035_2025022800IUKG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025022800IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025030300IUKG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025030300IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025030400IUKG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025030400IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025030500IUKG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025030500IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025030700IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025030800IUKG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025030800IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025031000IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025031100IUKG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025031100IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025031200IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025031600IUKG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025031600IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025031700IUKG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025031700IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025031900IUKG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025031900IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025032000IUKG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96035_2025032000IUSG.BIN,96035,WIMM_Stasiun Meteorologi Kualanamu,Dikenali
D96109_2025030500IUSG.BIN,96109,WIBB_Stasiun Meteorologi Sultan Syarif Kasim II,Dikenali
D96147_202501180000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
